date,model_prob,market_prob,edge,edge_adj,kelly_frac_used,bet_size,outcome,profit,bankroll,surface,p1_rank,min_edge,kelly_frac,vig,fold,scheme
20060210,0.444,0.3188,0.1252,0.1002,0.0015,0.795,1,1.5172,522.2298,Clay,46.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060210,0.5085,0.2867,0.2219,0.1969,0.0029,1.4936,1,3.2986,525.5285,Clay,356.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.4221,0.2626,0.1595,0.1345,0.0019,0.9923,1,2.4578,527.9863,Hard,60.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.3212,0.1372,0.1839,0.1589,0.0019,1.0016,0,-1.0016,526.9846,Hard,188.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.2298,0.0804,0.1494,0.1244,0.0014,0.7327,1,6.2167,533.2014,Hard,188.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.8564,0.726,0.1305,0.1055,0.0339,18.0646,0,-18.0646,515.1368,Hard,16.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.3184,0.0925,0.2258,0.2008,0.0023,1.1723,0,-1.1723,513.9645,Hard,378.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.3339,0.0792,0.2547,0.2297,0.0026,1.3178,0,-1.3178,512.6467,Hard,528.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.3402,0.1825,0.1577,0.1327,0.0017,0.8582,0,-0.8582,511.7885,Clay,204.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.1752,0.0681,0.107,0.082,0.0009,0.4629,0,-0.4629,511.3256,Clay,612.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.2966,0.1516,0.145,0.12,0.0015,0.745,0,-0.745,510.5806,Clay,155.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060213,0.1666,0.0665,0.1001,0.0751,0.0008,0.4223,1,4.1952,514.7758,Hard,539.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.5549,0.4413,0.1136,0.0886,0.004,2.0514,1,2.3481,517.1238,Clay,114.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.501,0.3498,0.1513,0.1263,0.002,1.0443,1,1.7423,518.8661,Clay,183.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.3038,0.168,0.1358,0.1108,0.0014,0.7123,1,2.9784,521.8445,Hard,127.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.4701,0.3488,0.1213,0.0963,0.0015,0.8027,1,1.3448,523.1893,Hard,127.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.3987,0.2378,0.1609,0.1359,0.0018,0.9647,1,2.7064,525.8957,Hard,236.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.484,0.288,0.1961,0.1711,0.0025,1.3095,0,-1.3095,524.5862,Hard,72.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.443,0.1751,0.2679,0.2429,0.003,1.5928,0,-1.5928,522.9934,Hard,230.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060220,0.6118,0.4021,0.2098,0.1848,0.0161,8.4323,1,11.313,534.3064,Hard,72.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.298,0.1803,0.1177,0.0927,0.0012,0.6231,0,-0.6231,533.6833,Clay,88.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.649,0.4913,0.1577,0.1327,0.0137,7.3207,1,6.8593,540.5426,Clay,100.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.6343,0.4094,0.2249,0.1999,0.0177,9.5532,0,-9.5532,530.9893,Clay,146.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.3135,0.1466,0.1669,0.1419,0.0017,0.9098,0,-0.9098,530.0795,Hard,49.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.3459,0.2327,0.1131,0.0881,0.0012,0.6294,1,1.8126,531.8921,Hard,53.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.4952,0.1773,0.318,0.293,0.0037,1.9533,0,-1.9533,529.9388,Hard,459.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.2945,0.187,0.1075,0.0825,0.001,0.5548,1,2.0617,532.0006,Hard,98.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.4462,0.2948,0.1514,0.1264,0.0019,0.9883,0,-0.9883,531.0123,Hard,189.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060227,0.3783,0.2737,0.1046,0.0796,0.0011,0.6028,1,1.4154,532.4277,Hard,73.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060306,0.2807,0.1803,0.1004,0.0754,0.0009,0.5053,0,-0.5053,531.9224,Hard,18.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060306,0.4855,0.3805,0.105,0.08,0.0013,0.7159,1,1.0498,532.9721,Hard,27.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060306,0.4186,0.2837,0.1349,0.1099,0.0016,0.8471,1,1.8967,534.8688,Hard,64.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060306,0.3301,0.2151,0.115,0.09,0.0012,0.6332,0,-0.6332,534.2357,Hard,78.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060306,0.2586,0.152,0.1065,0.0815,0.001,0.5292,0,-0.5292,533.7065,Hard,88.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060306,0.2806,0.1401,0.1405,0.1155,0.0014,0.7386,0,-0.7386,532.9679,Hard,98.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060306,0.2587,0.0503,0.2085,0.1835,0.002,1.0574,0,-1.0574,531.9106,Hard,495.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.4211,0.2891,0.132,0.107,0.0016,0.8296,1,1.8112,533.7218,Hard,65.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.4726,0.2437,0.2288,0.2038,0.0028,1.4876,0,-1.4876,532.2341,Hard,386.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.4526,0.2989,0.1537,0.1287,0.0019,1.013,0,-1.013,531.2211,Hard,129.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.2062,0.0724,0.1339,0.1089,0.0012,0.6407,0,-0.6407,530.5804,Hard,552.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.418,0.3093,0.1087,0.0837,0.0013,0.6669,1,1.3278,531.9082,Hard,130.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.2911,0.1441,0.1469,0.1219,0.0015,0.7805,0,-0.7805,531.1277,Hard,169.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.3639,0.2607,0.1032,0.0782,0.0011,0.5814,1,1.4537,532.5814,Hard,57.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060320,0.3331,0.2274,0.1057,0.0807,0.0011,0.5748,0,-0.5748,532.0066,Hard,66.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060407,0.4113,0.1651,0.2462,0.2212,0.0027,1.4528,0,-1.4528,530.5538,Clay,765.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060407,0.2589,0.0601,0.1988,0.1738,0.0019,1.0078,0,-1.0078,529.546,Hard,473.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060407,0.1691,0.0521,0.117,0.092,0.001,0.5278,0,-0.5278,529.0182,Hard,1112.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060407,0.3713,0.1952,0.1762,0.1512,0.0019,1.0256,0,-1.0256,527.9926,Clay,290.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060407,0.5956,0.4381,0.1575,0.1325,0.0059,3.1276,1,3.6257,531.6183,Hard,64.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060407,0.2832,0.1674,0.1159,0.0909,0.0011,0.5982,1,2.5113,534.1297,Grass,103.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
